"metric","AvC","NFref","matlenlim","CompSRA","Fdem","Ltarget4","slotlim"
"STY",0.9295,0,0.9885,1,0,0.2155,0.4455
"LTY",0.937,0,0.9965,1,0,0.2845,0.4525
"Yield",0.724824566267487,0.000108016320146534,0.724263299908595,1.04623881959712,0.0836517386035766,0.439726337773197,0.477784397039022
"P10",1,1,1,1,1,1,1
"P100",0.9956,1,0.9999,0.1706,1,1,0.9974
"AAVY",1,1,1,1,1,1,0.99
