"metric","AvC","NFref","matlenlim","CompSRA","Fdem","Ltarget4","slotlim"
"STY",0.761,0,0.943,1,0,0.042,0.3255
"LTY",0.7945,0,0.962,1,0,0.097,0.3535
"Yield",0.618818876864727,8.2463183475071e-05,0.635236036407645,1.04823957507568,0.133217705414089,0.388622660646105,0.421671418980303
"P10",1,1,1,1,1,1,1
"P100",1,1,1,0.9678,1,1,0.9978
"AAVY",1,1,1,1,1,1,0.995
