"metric","AvC","NFref","matlenlim","CompSRA","Fdem","Ltarget4","slotlim"
"STY",0.675,0,0.7485,0.974,0,0.27,0.369
"LTY",0.691,0,0.879,0.9555,0,0.26,0.538
"Yield",0.656437507827922,9.09788024512227e-05,0.768073025156687,1.0988455959305,0.125467688015802,0.412639669391662,0.507100960957651
"P10",1,1,1,1,1,1,1
"P100",0.9972,1,0.9909,0.6465,1,1,0.993
"AAVY",1,1,0.995,0.825,1,1,0.72
