"metric","AvC","NFref","matlenlim","CompSRA","Fdem","Ltarget4","slotlim"
"STY",0.8065,0,0.955,1,0,0.0745,0.3365
"LTY",0.8135,0,0.9695,1,0,0.11,0.378
"Yield",0.642904309942788,8.69775825082327e-05,0.65336261100513,1.05740929476935,0.114922256328606,0.395206089563473,0.432575551738741
"P10",1,1,1,1,1,1,1
"P100",0.9999,1,1,0.7618,1,1,0.9974
"AAVY",1,1,1,1,1,1,0.99
