"metric","AvC","NFref","matlenlim","CompSRA","Fdem","Ltarget4","slotlim"
"STY",0.8055,0,0.9465,1,0,0.0415,0.3795
"LTY",0.808,0,0.95,1,0,0.145,0.4125
"Yield",0.6410675805116,8.713443393818e-05,0.648495396629013,1.06088601608994,0.117197018621321,0.396881316157468,0.439746846929508
"P10",1,1,1,1,1,1,1
"P100",1,1,1,0.7814,1,1,0.9971
"AAVY",1,1,1,1,1,1,0.98
