"metric","AvC","NFref","matlenlim","CompSRA","Fdem","Ltarget4","slotlim"
"STY",0.8685,0,0.991,1,0,0.224,0.3985
"LTY",0.8635,0,0.999,1,0,0.286,0.4195
"Yield",0.698115813168952,9.37617294722249e-07,0.727351921837815,1.04044680621917,0.100653476797035,0.436746872949725,0.435685584624876
"P10",1,1,1,1,1,1,1
"P100",0.9997,1,0.9996,0.7148,1,1,0.9813
"AAVY",1,1,1,1,1,1,0.925
